Pattern,Print,Fabric,Native_Product_Id,Primary_Colour
Woven,Floral,Silk Blend,13068128,Purple
Woven,Floral,Silk Blend,13067994,Teal
Embroidered,Floral,Poly Georgette,13137740,White
Woven,Ethnic Motifs,Cotton Silk,13661614,Red
Woven,Ethnic Motifs,Cotton Silk,13661742,Orange
Striped,Striped,Organza,12025078,Yellow
Embroidered,Ethnic Motifs,Organza,11716834,White
Embroidered,Ethnic Motifs,Poly Georgette,11716844,Green
Embroidered,Floral,Art Silk,12831458,Grey
Embroidered,Ethnic Motifs,Pure Cotton,12510118,Yellow
Woven,Floral,Silk Blend,13133336,Navy Blue
Embroidered,Ethnic Motifs,Silk Blend,12967810,Red
Woven,Floral,Art Silk,13008868,Khaki
Woven,Ethnic Motifs,Silk Blend,13067952,Blue
Striped,Striped,Poly Georgette,14967952,Green
Checked,Checked,Viscose Rayon,2077115,Black
Embroidered,Floral,Net,10487090,Navy Blue
Printed,Floral,Art Silk,10452040,Green
Embroidered,Paisley Print,Net,10711524,White
Woven,Ethnic Motifs,Silk Blend,8821109,Brown
Woven,Floral,Art Silk,9146181,Grey
Printed,Bandhani,Art Silk,9479907,Multi-Colour
Printed,Striped,Silk Blend,7461971,Multi-Colour
Woven,Ethnic Motifs,Silk Blend,7693246,Black
Woven,Bandhani,Silk Blend,11631682,Navy Blue
Printed,Quirky,Cotton Blend,11579092,White
Woven,Floral,Cotton Blend,12457284,Grey
Dyed,Solid,Poly Chiffon,10464258,Pink
Checked,Checked,Silk Blend,15038412,Beige
Solid,Solid,Poly Georgette,11716826,Off-White
Embroidered,Floral,Silk Blend,12889006,Black
Checked,Checked,Silk Blend,15038412,Beige
Checked,Checked,Silk Blend,15038412,Beige
Embroidered,Floral,Poly Chiffon,12889090,Navy Blue
Woven,Floral,Silk Blend,13068100,Navy Blue
Woven,Ethnic Motifs,Silk Blend,13067990,Pink
Woven,Ethnic Motifs,Silk Blend,13068048,Navy Blue
Woven,Floral,Silk Blend,13068046,Burgundy
Woven,Ethnic Motifs,Silk Blend,13068030,Green
Checked,Checked,Silk Blend,15038412,Beige
Striped,Striped,Cotton Blend,12457266,Blue
Woven,Ethnic Motifs,Silk Blend,11564116,Red
